,Brand,Model,Variant,Year,driven kilometers,fuel,Transmission,number of owners,location,Price
0,Ford,Figo,2010-2012 Diesel ZXI,2010,"90,000 km",Diesel,Manual,2nd,"Ram Krishna Nagar, Vijayawada, Andhra Pradesh","₹ 2,15,000"
1,Ford,Ecosport,1.5 Petrol Ambiente,2015,"38,000 km",Petrol,Manual,1st,"Phule Nagar, Pune, Maharashtra","₹ 5,75,000"
2,Maruti Suzuki,Wagon R,2006-2010 VXI Minor,2009,"58,720 km",Petrol,Manual,1st,"Manuti, Thrissur, Kerala","₹ 2,45,000"
3,Hyundai,Fluidic Verna,1.6 CRDi SX,2018,"55,000 km",Diesel,Manual,1st,"Usmanpura, Ahmedabad, Gujarat","₹ 9,49,999"
4,Maruti Suzuki,Swift Dzire,VXI,2015,"57,091 km",Petrol,Manual,2nd,"Ezhamkulam, Adoor, Kerala","₹ 4,95,000"
5,Maruti Suzuki,Alto,LXi,2009,"52,000 km",Petrol,Manual,1st,"Hazratganj, Lucknow, Uttar Pradesh","₹ 1,35,000"
6,Maruti Suzuki,Swift,VVT VXI,2018,"17,000 km",Petrol,Manual,1st,"Kalyan, Thane, Maharashtra","₹ 6,35,000"
7,Volkswagen,Polo,GT TDI Sport Edition,2017,"83,231 km",Diesel,Manual,1st,"Uppal, Hyderabad, Telangana","₹ 7,80,000"
8,Hyundai,EON,1.0 Kappa Magna + (O),2014,"165,000 km",Petrol,Manual,2nd,"Belthangadi, Beltangadi, Karnataka","₹ 2,10,000"
9,Hyundai,Getz,GLS,2007,"78,000 km",Petrol,Manual,1st,"Jagatpur, Ahmedabad, Gujarat","₹ 1,45,000"
10,Hyundai,Grand i10,2016-2017 Magna,2017,"70,000 km",Petrol,Manual,1st,"Sultanpet, Palakkad, Kerala","₹ 3,75,000"
11,Mahindra,Scorpio,2002-2013 LX,2011,"85,320 km",Diesel,Manual,1st,"Navrangpura, Ahmedabad, Gujarat","₹ 3,70,000"
12,Hyundai,Elantra,2012-2015 CRDi S,2012,"49,351 km",Diesel,Manual,2nd,"HRBR Layout, Bengaluru, Karnataka","₹ 7,60,000"
13,Toyota,Yaris,VX CVT,2018,"55,000 km",Petrol,Automatic,1st,"Ernakulam, Kochi, Kerala","₹ 10,50,000"
14,Land Rover,Discovery Sport,TD4 HSE Luxury,2020,"20,000 km",Diesel,Automatic,1st,"Vasant Kunj, Delhi, Delhi","₹ 53,75,000"
15,Datsun,RediGO,T Option,2017,"40,000 km",Petrol,Manual,1st,"Shantipuram, Visakhapatnam, Andhra Pradesh","₹ 2,79,999"
16,Mahindra,Xylo,2009-2011 E8 BS4,2010,"76,000 km",Diesel,Manual,-,"Sector 37D, Chandigarh, Chandigarh","₹ 2,95,000"
17,Skoda,Rapid,1.6 MPI AT Ambition,2014,"65,500 km",Petrol,Automatic,1st,"Vadsar, Vadodara, Gujarat","₹ 4,75,001"
18,Hyundai,i10,Sportz 1.2 KAPPA VTVT,2009,"79,000 km",CNG & Hybrids,Manual,1st,"PWD Colony, Rampur, Uttar Pradesh","₹ 1,65,000"
19,BMW,3 Series,320d Sport,2014,"70,000 km",Diesel,Automatic,1st,"Mahanagar, Lucknow, Uttar Pradesh","₹ 15,75,000"
20,Hyundai,Verna,Fluidic 1.6 VTVT SX,2016,"55,000 km",Petrol,Manual,1st,"Rohini Sector 2, Delhi, Delhi","₹ 6,70,000"
21,Chevrolet,Spark,1.0 LS,2007,"108,482 km",Petrol,Manual,2nd,"Andheri East, Mumbai, Maharashtra","₹ 98,000"
22,Hyundai,Creta,1.6 CRDi SX Option,2015,"110,000 km",Diesel,Manual,1st,"Poonamallee, Chennai, Tamil Nadu","₹ 9,50,000"
23,-,-,-,-,-,-,-,-,"Samudrapur, Maharashtra, India","₹ 25,000"
24,Volkswagen,Polo,2009-2013 Diesel Comfortline 1.2L,2012.0,"81,500 km",Diesel,Manual,1st,"Sector 9C, Chandigarh, Chandigarh","₹ 3,25,000"
25,Hyundai,Grand i10,2016-2017 Magna,2016,"38,445 km",Diesel,Manual,1st,"Satyasai Road, Indore, Madhya Pradesh","₹ 5,35,000"
26,Skoda,Octavia,2000-2010 Rider 1.9 TDI MT,2006,"110,000 km",Diesel,Manual,3rd,"Vytila, Kochi, Kerala","₹ 1,70,000"
27,Maruti Suzuki,Ciaz,2014-2017 ZDi,2017,"57,000 km",Diesel,Manual,1st,"Ranital Chowk, Jabalpur, Madhya Pradesh","₹ 7,45,000"
28,Maruti Suzuki,Swift Dzire Tour,LDI,2019,"59,000 km",Diesel,Manual,1st,"Nungambakkam, Chennai, Tamil Nadu","₹ 5,85,000"
29,Volkswagen,Polo,1.2 MPI Comfortline,2011,"57,425 km",Petrol,Manual,2nd,"Juhi Kalan, Kanpur, Uttar Pradesh","₹ 2,30,000"
30,Toyota,Fortuner,3.0 4x2 Automatic,2014,"158,000 km",Diesel,Automatic,1st,"Thavalakuzhy, Ettumanoor, Kerala","₹ 19,25,000"
31,Mahindra,Xylo,H4 BS IV,2019,1st,Diesel,"28,756 km",-,"Tambaram, Chennai, Tamil Nadu","₹ 8,92,000"
32,Hyundai,i20,1.4 Sportz,2010,"67,900 km",Petrol,Manual,1st,"Nagole, Hyderabad, Telangana","₹ 2,35,000"
33,Hyundai,EON,1.0 Era Plus,2013,"40,000 km",Petrol,Manual,1st,"Kodambakkam Zacharia Colony, Chennai, Tamil Nadu","₹ 2,90,000"
34,Chevrolet,Enjoy,1.4 LTZ 8,2014,"45,519 km",Petrol,Manual,1st,"Bondbag Village, Ponda, Goa","₹ 2,60,000"
35,Honda,Brio,1.2 S MT,2017,"65,000 km",Petrol,Manual,1st,"Satellite Anand Nagar, Ahmedabad, Gujarat","₹ 4,75,000"
36,iPhone,-,-,-,-,-,-,-,"Samudrapur, Maharashtra, India","₹ 13,499"
37,Hyundai,Santro Xing,GL,2009,"81,000 km",Petrol,Manual,3rd,"Basaveshvara Nagar, Bengaluru, Karnataka","₹ 2,10,000"
38,Maruti Suzuki,Vitara Brezza,ZDi Plus Dual Tone,2019,"54,250 km",Diesel,Manual,1st,"Varacha, Surat, Gujarat","₹ 8,90,000"
39,Volvo,XC90,Inscription Luxury,2016,"120,000 km",Diesel,Automatic,1st,"Sector 2A, Chandigarh, Chandigarh","₹ 39,50,000"
40,Ford,Fiesta,2010,"86,273 km",-,-,-,-,"Palarivattom, Kochi, Kerala","₹ 1,75,000"
41,Mahindra,Xylo,H4 BS IV,2019,"38,545 km",Diesel,Manual,1st,"Tambaram, Chennai, Tamil Nadu","₹ 8,92,000"
42,Ford,Ecosport,1.5 Diesel Titanium,2013,"77,834 km",Diesel,Manual,1st,"Pirwadi, Satara, Maharashtra","₹ 6,25,000"
43,Hyundai,Grand i10,2016-2017 Magna AT,2016,"32,000 km",CNG & Hybrids,Automatic,1st,"Mayur Vihar, Delhi, Delhi","₹ 5,75,000"
44,Audi,A4,"2.0 TDI (177bhp), Premium",2012,"70,000 km",Diesel,Automatic,1st,"Kalol INA, Kalol, Gujarat","₹ 12,75,000"
45,Hyundai,i20,2015-2017 Asta 1.4 CRDi,2017,"75,000 km",Diesel,Manual,1st,"Santosh Nagar, Hyderabad, Telangana","₹ 7,10,000"
46,Maruti Suzuki,Wagon R,VXI,2016,"15,812 km",Petrol,Manual,-,"Tunga Village, Mumbai, Maharashtra","₹ 3,75,000"
47,Mahindra,Quanto,C2,2012,"73,000 km",Diesel,Manual,1st,"Preet Vihar, Delhi, Delhi","₹ 2,60,000"
48,Toyota,Innova,2.5 G (Diesel) 8 Seater,2010,"85,000 km",Diesel,Manual,2nd,"Baroda Dairy Chowk, Vadodara, Gujarat","₹ 4,25,000"
49,Skoda,Rapid,1.6 MPI Active,2013,"62,000 km",Petrol,Manual,2nd,"UCIL Township, Jadugora, Jharkhand","₹ 3,25,000"
