,Brand,Model,Variant,Year,driven kilometers,fuel,Transmission,number of owners,Price,Street,District,State
0,Ford,Figo,2010-2012 Diesel ZXI,2010,90000,Diesel,Manual,2nd,215000.0,Ram Krishna Nagar, Vijayawada, Andhra Pradesh
1,Ford,Ecosport,1.5 Petrol Ambiente,2015,38000,Petrol,Manual,1st,575000.0,Phule Nagar, Pune, Maharashtra
2,Maruti Suzuki,Wagon R,2006-2010 VXI Minor,2009,58720,Petrol,Manual,1st,245000.0,Manuti, Thrissur, Kerala
3,Hyundai,Fluidic Verna,1.6 CRDi SX,2018,55000,Diesel,Manual,1st,949999.0,Usmanpura, Ahmedabad, Gujarat
4,Maruti Suzuki,Swift Dzire,VXI,2015,57091,Petrol,Manual,2nd,495000.0,Ezhamkulam, Adoor, Kerala
5,Maruti Suzuki,Alto,LXi,2009,52000,Petrol,Manual,1st,135000.0,Hazratganj, Lucknow, Uttar Pradesh
6,Maruti Suzuki,Swift,VVT VXI,2018,17000,Petrol,Manual,1st,635000.0,Kalyan, Thane, Maharashtra
7,Volkswagen,Polo,GT TDI Sport Edition,2017,83231,Diesel,Manual,1st,780000.0,Uppal, Hyderabad, Telangana
8,Hyundai,EON,1.0 Kappa Magna + (O),2014,165000,Petrol,Manual,2nd,210000.0,Belthangadi, Beltangadi, Karnataka
9,Hyundai,Getz,GLS,2007,78000,Petrol,Manual,1st,145000.0,Jagatpur, Ahmedabad, Gujarat
10,Hyundai,Grand i10,2016-2017 Magna,2017,70000,Petrol,Manual,1st,375000.0,Sultanpet, Palakkad, Kerala
11,Mahindra,Scorpio,2002-2013 LX,2011,85320,Diesel,Manual,1st,370000.0,Navrangpura, Ahmedabad, Gujarat
12,Hyundai,Elantra,2012-2015 CRDi S,2012,49351,Diesel,Manual,2nd,760000.0,HRBR Layout, Bengaluru, Karnataka
13,Toyota,Yaris,VX CVT,2018,55000,Petrol,Automatic,1st,1050000.0,Ernakulam, Kochi, Kerala
14,Land Rover,Discovery Sport,TD4 HSE Luxury,2020,20000,Diesel,Automatic,1st,5375000.0,Vasant Kunj, Delhi, Delhi
15,Datsun,RediGO,T Option,2017,40000,Petrol,Manual,1st,279999.0,Shantipuram, Visakhapatnam, Andhra Pradesh
16,Mahindra,Xylo,2009-2011 E8 BS4,2010,76000,Diesel,Manual,,295000.0,Sector 37D, Chandigarh, Chandigarh
17,Skoda,Rapid,1.6 MPI AT Ambition,2014,65500,Petrol,Automatic,1st,475001.0,Vadsar, Vadodara, Gujarat
18,Hyundai,i10,Sportz 1.2 KAPPA VTVT,2009,79000,CNG & Hybrids,Manual,1st,165000.0,PWD Colony, Rampur, Uttar Pradesh
19,BMW,3 Series,320d Sport,2014,70000,Diesel,Automatic,1st,1575000.0,Mahanagar, Lucknow, Uttar Pradesh
20,Hyundai,Verna,Fluidic 1.6 VTVT SX,2016,55000,Petrol,Manual,1st,670000.0,Rohini Sector 2, Delhi, Delhi
21,Chevrolet,Spark,1.0 LS,2007,108482,Petrol,Manual,2nd,98000.0,Andheri East, Mumbai, Maharashtra
22,Hyundai,Creta,1.6 CRDi SX Option,2015,110000,Diesel,Manual,1st,950000.0,Poonamallee, Chennai, Tamil Nadu
23,,,,0,0,Unknown,Unknown,,25000.0,Samudrapur, Maharashtra, India
24,Volkswagen,Polo,2009-2013 Diesel Comfortline 1.2L,0,81500,Diesel,Manual,1st,325000.0,Sector 9C, Chandigarh, Chandigarh
25,Hyundai,Grand i10,2016-2017 Magna,2016,38445,Diesel,Manual,1st,535000.0,Satyasai Road, Indore, Madhya Pradesh
26,Skoda,Octavia,2000-2010 Rider 1.9 TDI MT,2006,110000,Diesel,Manual,3rd,170000.0,Vytila, Kochi, Kerala
27,Maruti Suzuki,Ciaz,2014-2017 ZDi,2017,57000,Diesel,Manual,1st,745000.0,Ranital Chowk, Jabalpur, Madhya Pradesh
28,Maruti Suzuki,Swift Dzire Tour,LDI,2019,59000,Diesel,Manual,1st,585000.0,Nungambakkam, Chennai, Tamil Nadu
29,Volkswagen,Polo,1.2 MPI Comfortline,2011,57425,Petrol,Manual,2nd,230000.0,Juhi Kalan, Kanpur, Uttar Pradesh
30,Toyota,Fortuner,3.0 4x2 Automatic,2014,158000,Diesel,Automatic,1st,1925000.0,Thavalakuzhy, Ettumanoor, Kerala
31,Mahindra,Xylo,H4 BS IV,2019,0,Diesel,Unknown,,892000.0,Tambaram, Chennai, Tamil Nadu
32,Hyundai,i20,1.4 Sportz,2010,67900,Petrol,Manual,1st,235000.0,Nagole, Hyderabad, Telangana
33,Hyundai,EON,1.0 Era Plus,2013,40000,Petrol,Manual,1st,290000.0,Kodambakkam Zacharia Colony, Chennai, Tamil Nadu
34,Chevrolet,Enjoy,1.4 LTZ 8,2014,45519,Petrol,Manual,1st,260000.0,Bondbag Village, Ponda, Goa
35,Honda,Brio,1.2 S MT,2017,65000,Petrol,Manual,1st,475000.0,Satellite Anand Nagar, Ahmedabad, Gujarat
36,iPhone,,,0,0,Unknown,Unknown,,13499.0,Samudrapur, Maharashtra, India
37,Hyundai,Santro Xing,GL,2009,81000,Petrol,Manual,3rd,210000.0,Basaveshvara Nagar, Bengaluru, Karnataka
38,Maruti Suzuki,Vitara Brezza,ZDi Plus Dual Tone,2019,54250,Diesel,Manual,1st,890000.0,Varacha, Surat, Gujarat
39,Volvo,XC90,Inscription Luxury,2016,120000,Diesel,Automatic,1st,3950000.0,Sector 2A, Chandigarh, Chandigarh
40,Ford,Fiesta,2010,0,0,Unknown,Unknown,,175000.0,Palarivattom, Kochi, Kerala
41,Mahindra,Xylo,H4 BS IV,2019,38545,Diesel,Manual,1st,892000.0,Tambaram, Chennai, Tamil Nadu
42,Ford,Ecosport,1.5 Diesel Titanium,2013,77834,Diesel,Manual,1st,625000.0,Pirwadi, Satara, Maharashtra
43,Hyundai,Grand i10,2016-2017 Magna AT,2016,32000,CNG & Hybrids,Automatic,1st,575000.0,Mayur Vihar, Delhi, Delhi
44,Audi,A4,"2.0 TDI (177bhp), Premium",2012,70000,Diesel,Automatic,1st,1275000.0,Kalol INA, Kalol, Gujarat
45,Hyundai,i20,2015-2017 Asta 1.4 CRDi,2017,75000,Diesel,Manual,1st,710000.0,Santosh Nagar, Hyderabad, Telangana
46,Maruti Suzuki,Wagon R,VXI,2016,15812,Petrol,Manual,,375000.0,Tunga Village, Mumbai, Maharashtra
47,Mahindra,Quanto,C2,2012,73000,Diesel,Manual,1st,260000.0,Preet Vihar, Delhi, Delhi
48,Toyota,Innova,2.5 G (Diesel) 8 Seater,2010,85000,Diesel,Manual,2nd,425000.0,Baroda Dairy Chowk, Vadodara, Gujarat
49,Skoda,Rapid,1.6 MPI Active,2013,62000,Petrol,Manual,2nd,325000.0,UCIL Township, Jadugora, Jharkhand
50,Honda,Brio,2016,0,0,Manual,Unknown,,400000.0,Balkampet, Hyderabad, Telangana
51,Honda,City,2008-2011 1.5 S MT,2010,72452,Petrol,Manual,2nd,280000.0,Juhi Kalan, Kanpur, Uttar Pradesh
52,Toyota,Camry,2002-2011 W2 (AT),2007,55,Petrol,Automatic,,30000.0,Vyttila, Kochi, Kerala
53,Hyundai,Grand i10,1.2 Kappa Magna,2015,13500,Petrol,Manual,1st,545000.0,Madhapur, Hyderabad, Telangana
54,Maruti Suzuki,Swift Dzire,ZDI Plus ,2017,75000,Diesel,Manual,1st,750000.0,Mahanagar, Lucknow, Uttar Pradesh
55,Maruti Suzuki,Alto,LXi,2011,57000,Petrol,Manual,1st,195000.0,Rajarampuri, Kolhapur, Maharashtra
56,Audi,A6,2.0 TDI Premium Plus,2012,70000,Diesel,Automatic,1st,1470000.0,Jawahar Nagar, Ludhiana, Punjab
57,Hyundai,Santro Xing,GL,2011,88000,Petrol,Manual,2nd,165000.0,Dwarka, Delhi, Delhi
58,Maruti Suzuki,Swift,2004-2010 Lxi BSIII,2006,165000,CNG & Hybrids,Automatic,3rd,105000.0,Mohan Ke Uttar 168, Guru Har Sahai, Punjab
59,Renault,Duster,110PS Diesel RxZ AWD,2014,126000,Diesel,Manual,1st,455000.0,Bhiwandi Nizampur, Bhiwandi, Maharashtra
60,Hyundai,i10,Magna,2010,75000,Petrol,Manual,3rd,200000.0,Lodhamandi, Haridwar, Uttaranchal
61,Honda,City ZX,GXi,2008,60000,Petrol,Manual,2nd,120000.0,Banaras Hindu University, Varanasi, Uttar Pradesh
62,Honda,Amaze,1.5 SMT I DTEC,2016,45000,Diesel,Manual,1st,475000.0,Naranpura, Ahmedabad, Gujarat
63,Renault,KWID,1.0 RXT EDITION,2018,19999,Petrol,Manual,1st,325000.0,Edapally, Kochi, Kerala
64,Hyundai,Grand i10,1.2 CRDi Sportz Option,2017,82957,Diesel,Manual,1st,500000.0,Chikalthana MIDC, Aurangabad, Maharashtra
65,Maruti Suzuki,Vitara Brezza,ZDi AMT,2019,7500,Diesel,Automatic,1st,1090000.0,Vijyant Khand, Lucknow, Uttar Pradesh
66,Maruti Suzuki,Swift Dzire,Vdi BSIV,2013,100000,Diesel,Manual,1st,450000.0,Raja Park, Jaipur, Rajasthan
67,Tata,Aria,2010-2013 Pleasure 4x2,2012,99492,Diesel,Manual,2nd,284000.0,Dahisar West, Mumbai, Maharashtra
68,Maruti Suzuki,Wagon R,VXI,2015,30000,Petrol,Manual,1st,325000.0,Mayur Vihar, Delhi, Delhi
69,Ford,Ecosport,1.5 Diesel Ambiente,2013,113000,Diesel,Manual,1st,485000.0,Thane West, Thane, Maharashtra
70,Mahindra,Xylo,H4,2019,76002,Diesel,Manual,1st,913000.0,Porur, Chennai, Tamil Nadu
71,Maruti Suzuki,Vitara Brezza,VDi AMT,2018,21000,Diesel,Automatic,1st,880000.0,Preet Vihar, Delhi, Delhi
72,Hyundai,i10,1.1L iRDE Magna Special Edition,2009,38162,Petrol,Manual,1st,180000.0,Madurdaha, Kolkata, West Bengal
73,Maruti Suzuki,Omni,E MPI STD BSIV,2017,37000,Petrol,Manual,1st,275000.0,Ayanavaram, Chennai, Tamil Nadu
74,Volkswagen,Polo,1.5 TDI Highline,2015,79000,Diesel,Manual,2nd,450000.0,Navrangpura, Ahmedabad, Gujarat
75,Jeep,Compass,2.0 Sport,2018,31000,Diesel,Manual,1st,1500000.0,Karamana, Thiruvananthapuram, Kerala
76,Skoda,Rapid,2013-2016 1.5 TDI Elegance,2014,44500,Diesel,Manual,2nd,511000.0,Naranpura, Ahmedabad, Gujarat
77,Nissan,Sunny,XV,2015,49000,Petrol,Manual,1st,415000.0,Tilak Nagar, Delhi, Delhi
78,Hyundai,Verna,2011-2014 1.6 SX VTVT (O),2013,36124,Petrol,Manual,1st,595000.0,Borivali West, Mumbai, Maharashtra
79,Maruti Suzuki,Ciaz,2014-2017 ZXi Plus,2015,68000,Petrol,Manual,1st,650000.0,Shivaji Nagar, Pune, Maharashtra
80,,,,0,0,Unknown,Unknown,,,,,
81,Honda,City,2015-2017 i VTEC V,2017,89000,Petrol,Manual,1st,790000.0,Navrangpura, Ahmedabad, Gujarat
82,Toyota,Innova,2.5 V 8 STR,2009,79000,Diesel,Manual,2nd,575000.0,Kalol INA, Kalol, Gujarat
83,BMW,5 Series,520d Luxury Line,2017,35000,Diesel,Automatic,1st,4200000.0,Kottivakkam, Chennai, Tamil Nadu
84,Toyota,Fortuner,2011-2016 4x2 MT TRD Sportivo,2012,175000,Diesel,Manual,2nd,1290000.0,Rajaji Nagar, Bengaluru, Karnataka
85,Fiat,Punto,Punto Emotion Pack 1.3,2010,64000,Petrol,Manual,1st,150000.0,JP Nagar Phase 7, Bengaluru, Karnataka
86,Maruti Suzuki,Ertiga,LDI,2009,80313,Diesel,Manual,1st,250000.0,Chembur, Mumbai, Maharashtra
87,Maruti Suzuki,Ciaz,1.4 AT Delta,2020,5000,Petrol,Automatic,1st,1045000.0,Sector 37, Gurgaon, Haryana
88,Datsun,RediGO,AMT 1.0 S,2018,23000,Petrol,Automatic,1st,338000.0,Erayikadavu, Kottayam, Kerala
89,Audi,Q5,2.0 TFSI quattro Premium,2009,62000,Petrol,Automatic,3rd,1000000.0,Deonar, Mumbai, Maharashtra
90,Hyundai,i20,2010,0,0,Manual,Unknown,,310000.0,T Nagar, Chennai, Tamil Nadu
91,Skoda,Rapid,1.6 MPI Active,2014,92000,Diesel,Manual,2nd,470000.0,Melkar, Narikombu, Karnataka
92,Ford,Figo,2010-2012 Diesel Titanium,2010,188000,Diesel,Manual,2nd,235000.0,Kannankurichi, Salem, Tamil Nadu
93,Chevrolet,Enjoy,2013-2015 TCDi LS 8 Seater,2014,77000,Diesel,Manual,1st,410000.0,Allauddin Basthi, Hyderabad, Telangana
94,Maruti Suzuki,Celerio,ZXI AMT,2015,35153,Petrol,Automatic,,475000.0,Lavakusha Nagar, Bengaluru, Karnataka
95,Nissan,Sunny,XV,2014,46000,Petrol,Manual,1st,475000.0,Aranattukara, Thrissur, Kerala
96,Chevrolet,Captiva,LTZ AWD Automatic,2012,83000,Diesel,Automatic,1st,550000.0,Bhakti Nagar, Aurangabad, Maharashtra
97,Volkswagen,Polo,1.2 MPI Highline,2017,80000,Petrol,Manual,1st,665000.0,Thiruvannur, Kozhikode, Kerala
98,Maruti Suzuki,Vitara Brezza,ZDi,2017,85000,Diesel,Manual,1st,825000.0,Venkata Ramana Colony, Kurnool, Andhra Pradesh
99,Toyota,Innova Crysta,2.8Z Automatic,2018,36523,Diesel,Automatic,1st,2150000.0,Malad West, Mumbai, Maharashtra
100,Maruti Suzuki,Swift,2011-2014 VDI,2013,80000,Diesel,Manual,1st,370000.0,Banasar Bagh, Sangrur, Punjab
101,Honda,City ZX,GXi,2007,141000,Petrol,Manual,2nd,290000.0,Vrindavan Colony, Jagdalpur, Chhattisgarh
102,Chevrolet,Beat,Diesel LS,2012,72000,Diesel,Manual,2nd,120000.0,Aalinchuvadu, Tirur, Kerala
103,Honda,City,2014-2015 i DTEC SV,2014,53000,Diesel,Manual,1st,550000.0,Off SG Highway, Ahmedabad, Gujarat
104,MG,Hector,Sharp AT,2019,20000,Petrol,Automatic,1st,1750000.0,Kapodra Chowk, Surat, Gujarat
105,Toyota,Camry,2002-2011 W3 (MT),2008,0,Unknown,Unknown,,15000.0,Vyttila, Kochi, Kerala
106,Toyota,Etios Liva,2011-2012 GD,2013,56321,Diesel,Manual,1st,249101.0,Rabindra Nagar, Siliguri, West Bengal
107,Maruti Suzuki,Ignis,1.3 Alpha,2017,49500,Diesel,Manual,2nd,590000.0,Vijyant Khand, Lucknow, Uttar Pradesh
108,Maruti Suzuki,Omni,8 Seater BSIV,2016,67000,Petrol,Manual,2nd,285000.0,Ayodya Nagar, Bengaluru, Karnataka
109,Maruti Suzuki,Ritz,VDi,2013,59000,Diesel,Manual,1st,325000.0,Kalol INA, Kalol, Gujarat
110,Hyundai,Creta,1.6 SX Automatic,2018,7000,Petrol,Automatic,1st,1500000.0,Bandra West, Mumbai, Maharashtra
111,Maruti Suzuki,Zen,LX,2004,100000,Petrol,Manual,2nd,80000.0,Barra, Sirhind Fatehgarh Sahib, Punjab
112,Hyundai,Elite i20,Sportz 1.2 OPT,2018,40000,Petrol,Manual,1st,580000.0,Pandara, Bhubaneshwar, Odisha
113,Tata,Indigo Ecs,eCS GLX,2012,59000,Diesel,Manual,1st,190000.0,Kalol INA, Kalol, Gujarat
114,Maruti Suzuki,Ciaz,2014-2017 VDi Plus SHVS,2016,23000,Diesel,Manual,1st,699000.0,Andheri West, Mumbai, Maharashtra
115,Toyota,Etios,Etios G SP*,2011,78500,Petrol,Manual,1st,325000.0,Sector 61, Chandigarh, Chandigarh
